#;P0;
;(s);
828;0.858327;
829;1.382449;
830;0.004700;
831;0.653900;
832;1.301924;
833;0.512244;
834;1.310000;
835;0.005313;
836;1.216500;
837;0.471225;
838;0.388485;
839;3.425324;
840;1.411433;
841;0.275207;
842;0.147274;
843;0.212905;
844;1.546819;
845;2.283093;
846;0.473871;
847;0.198335;
848;1.234893;
849;0.434445;
850;0.327058;
851;0.220104;
852;0.823339;
853;0.255498;
854;0.184502;
855;0.052000;
856;0.657974;
857;0.182912;
858;0.617308;
859;0.663330;
860;0.006219;
861;1.143316;
862;0.001844;
863;0.184528;
864;0.663830;
865;0.003771;
866;0.325724;
867;0.967846;
868;0.047763;
869;0.396274;
870;0.419416;
871;2.306642;
872;0.004180;
873;0.427774;
874;0.478231;
875;0.571652;
876;0.197276;
877;0.002205;
878;1.783181;
879;0.005671;
880;0.981902;
881;0.473028;
882;4.962427;
883;3.651200;
884;10.312522;
885;0.002830;
886;1.058833;
887;0.464700;
888;0.619454;
889;0.398292;
890;0.185667;
891;0.447518;
892;0.002560;
893;0.004228;
894;0.033163;
895;0.006242;
896;0.012535;
897;0.006070;
898;0.003972;
899;0.728154;
900;0.849243;
901;2.437433;
902;0.848933;
903;2.948390;
904;1.932600;
905;0.342825;
906;0.002908;
907;2.642199;
908;0.261271;
909;0.284353;
910;0.421118;
911;1.028620;
912;0.458488;
913;0.279738;
914;0.670037;
915;1.279058;
916;1.044851;
917;0.506058;
918;2.764209;
919;0.844109;
920;2.483804;
921;0.028969;
922;0.041500;
923;0.004109;
924;0.004792;
925;0.006868;
926;0.004579;
927;0.004208;
928;0.477994;
929;0.792674;
930;0.543016;
931;0.041513;
932;0.002678;
933;0.529929;
934;0.196480;
935;0.280678;
936;0.532703;
937;1.478721;
938;0.528858;
939;0.734367;
940;*;
941;1.565218;
942;0.648117;
943;1.106400;
944;0.650434;
945;0.345603;
946;1.532135;
947;0.911092;
948;0.107718;
949;0.399192;
950;0.003238;
951;1.506603;
952;0.478145;
953;1.257511;
954;0.207953;
955;0.009423;
956;1.239003;
957;0.004088;
958;0.137055;
959;0.558179;
960;0.378629;
961;0.627299;
962;0.193340;
963;0.002545;
964;0.002389;
965;0.002166;
966;0.005443;
967;0.005470;
968;0.004400;
969;1.394104;
970;0.252398;
971;0.540102;
972;1.253087;
973;0.299625;
974;0.609972;
975;0.616257;
976;0.927772;
977;0.259365;
978;0.373034;
979;0.295700;
980;0.138158;
981;0.004738;
982;0.628903;
983;2.076200;
984;0.851064;
985;0.850800;
986;2.951938;
987;0.644305;
988;2.038674;
989;1.213385;
990;0.276603;
991;0.507380;
992;0.455761;
993;0.912971;
994;0.166308;
995;0.374120;
996;0.060533;
997;0.127509;
998;0.899747;
999;1.855465;
1000;0.003084;
1001;0.031182;
1002;0.842805;
1003;0.005892;
1004;1.380182;
1005;0.362634;
1006;0.399170;
1007;1.306199;
1008;2.650439;
1009;0.007602;
1010;0.617575;
1011;2.436795;
1012;0.288350;
1013;1.248312;
1014;0.213075;
1015;0.492344;
1016;0.701615;
1017;1.120892;
1018;0.567635;
1019;1.125000;
1020;0.300581;
1021;0.528591;
1022;0.050052;
1023;0.278729;
1024;0.062453;
1025;0.058199;
1026;0.529158;
1027;0.315258;
1028;0.021676;
1029;0.285625;
1030;0.109741;
1031;0.292408;
1032;0.394953;
1033;4.630188;
1034;0.392479;
1035;0.794883;
1036;0.295584;
1037;0.002664;
1038;1.096807;
1039;1.672596;
1040;0.110573;
1041;0.935772;
1042;0.034117;
1043;0.068180;
1044;0.006386;
1045;0.340968;
1046;1.671473;
1047;0.333411;
1048;0.770375;
1049;1.427000;
1050;0.366737;
1051;1.023504;
1052;0.353263;
1053;0.707868;
1054;0.501730;
1055;0.995800;
1056;0.283700;
1057;0.995864;
1058;0.586486;
1059;0.570293;
1060;0.115843;
1061;0.763915;
1062;0.491519;
1063;0.785443;
1064;0.002012;
1065;0.004111;
1066;0.002772;
1067;2.034989;
1068;*;
1069;1.954430;
1070;0.041741;
1071;1.072121;
1072;0.306368;
1073;0.963348;
1074;0.472997;
1075;3.262166;
1076;0.009348;
1077;0.009333;
1078;0.003719;
1079;0.061696;
1080;0.467616;
1081;0.777994;
1082;0.947903;
1083;0.028635;
1084;0.459607;
1085;1.175840;
1086;0.732061;
1087;1.132600;
1088;2.760228;
1089;4.758576;
1090;0.003719;
1091;0.002195;
1092;0.158730;
1093;0.463330;
1094;0.029466;
1095;0.075253;
1096;0.386643;
1097;0.154992;
1098;0.005792;
1099;0.179487;
1100;0.396459;
1101;0.045249;
1102;0.007987;
1103;0.176191;
1104;0.536810;
1105;0.263377;
1106;1.748308;
1107;1.498637;
1108;0.390739;
1109;0.103151;
1110;0.213661;
1111;0.464037;
1112;0.782949;
1113;3.784000;
1114;1.752508;
1115;0.535506;
1116;0.668105;
1117;0.842104;
1118;0.026744;
1119;3.314002;
1120;0.412985;
1121;1.672372;
1122;0.999000;
1123;0.840739;
1124;0.286759;
1125;0.897254;
1126;0.355656;
1127;0.739682;
1128;0.088925;
1129;0.339038;
1130;0.943871;
1131;0.004779;
1132;0.200384;
1133;0.301511;
1134;2.040533;
1135;0.128699;
1136;0.229595;
1137;0.002119;
1138;0.973478;
1139;0.151582;
1140;1.046117;
1141;1.958737;
1142;0.454840;
1143;0.003589;
1144;0.296279;
1145;0.148797;
1146;1.147000;
1147;0.286648;
1148;0.036022;
1149;0.140668;
1150;1.103726;
1151;0.064402;
1152;0.650837;
1153;0.886613;
1154;0.005554;
1155;0.007947;
1156;0.002484;
1157;0.002988;
1158;0.003182;
1159;0.002654;
1160;0.002750;
1161;0.040935;
1162;0.794997;
1163;0.499196;
1164;0.214925;
1165;0.510656;
1166;0.518758;
1167;2.154307;
1168;1.254052;
1169;0.270699;
1170;0.173682;
1171;1.389605;
1172;0.102136;
1173;0.395355;
1174;1.504835;
1175;0.078244;
1176;1.116174;
1177;0.961043;
1178;1.011694;
1179;0.355156;
1180;0.011360;
1181;0.280349;
1182;0.002489;
1183;0.301888;
1184;0.848913;
1185;2.417605;
1186;1.048720;
1187;0.060822;
1188;0.526556;
1189;3.467302;
1190;0.355687;
1191;0.476418;
1192;0.799000;
1193;0.008486;
