# nb[fm^-3]  rho[g/cm^3]  P[dyn/cm^2]  (cold beta-eq APR)
1.096478199999999992e-10 1.820050371040425671e+05 1.301975048751076606e+22
1.202264399999999948e-10 1.995630815852023079e+05 1.384894179051495542e+22
1.318256699999999936e-10 2.188151103504980856e+05 1.476226165738415797e+22
1.445439799999999962e-10 2.399245630267507222e+05 1.576861831429861933e+22
1.584893200000000083e-10 2.630706144384724321e+05 1.687794307881102003e+22
1.737800799999999879e-10 2.884497681284236605e+05 1.810132696146713667e+22
1.905460699999999969e-10 3.162774829838161240e+05 1.945116610378203765e+22
2.089296099999999907e-10 3.467899827094442444e+05 2.094133065513410809e+22
2.290867699999999908e-10 3.802463139990885393e+05 2.258736368355529825e+22
2.511886399999999781e-10 4.169304547941651545e+05 2.440669755295770293e+22
2.754228699999999803e-10 4.571538706082551507e+05 2.641892131177668123e+22
3.019951699999999817e-10 5.012580045714088483e+05 2.864605942106172686e+22
3.311311199999999983e-10 5.496172819756692043e+05 3.111291808351877752e+22
3.630780500000000002e-10 6.026422312619598815e+05 3.384746178713603591e+22
3.981071699999999906e-10 6.607830198368061101e+05 3.688126242482677822e+22
4.365158299999999923e-10 7.245332059775766684e+05 4.024999576949017805e+22
4.786300900000000189e-10 7.944340052153788274e+05 4.399402959598276261e+22
5.248074600000000281e-10 8.710788390484683914e+05 4.815908099204786946e+22
5.754399399999999707e-10 9.551183820119372103e+05 5.279698165660740957e+22
6.309573400000000007e-10 1.047266073373817839e+06 5.796654023825046477e+22
6.918309699999999561e-10 1.148304243433631491e+06 6.373454753164647465e+22
7.585775799999999529e-10 1.259090654844629811e+06 7.017689860546041060e+22
8.317637699999999715e-10 1.380565824285421753e+06 7.737989648334604101e+22
9.120108399999999546e-10 1.513761075320795178e+06 8.544173296771369481e+22
1.000000000000000062e-09 1.659807188426738605e+06 9.447416369428959540e+22
1.096478199999999966e-09 1.819944081212214194e+06 1.046044198174260472e+23
1.202264400000000103e-09 1.995531219457370928e+06 1.159773940610667842e+23
1.318256699999999936e-09 2.188059455425496213e+06 1.287581002123588424e+23
1.445439800000000065e-09 2.399163415698337834e+06 1.431344825671447866e+23
1.584893200000000083e-09 2.630635117614634801e+06 1.593205535808539412e+23
1.737800799999999982e-09 2.884439909777517896e+06 1.775600334906793279e+23
1.905460699999999969e-09 3.162732746816887986e+06 1.981303917051609895e+23
2.089296099999999803e-09 3.467876290534232743e+06 2.213474362261852127e+23
2.290867700000000063e-09 3.802461500973439775e+06 2.475705173326275019e+23
2.511886400000000194e-09 4.169328729648933280e+06 2.772083456066498048e+23
2.754228699999999907e-09 4.571593294305799529e+06 3.107257347155557603e+23
3.019951699999999817e-09 5.012670391478123143e+06 3.486509500130130458e+23
3.311311200000000190e-09 5.496305156991662458e+06 3.915842703523306652e+23
3.630780499999999899e-09 6.026603893776793033e+06 4.402074736485208078e+23
